"","Locator","Dog_biomarker","Hu_biomarker"
"1","MAS_CNV0437",8.2,0
"2","MAS_CNV2603",57,26
"3","MAS_CNV2603",57,12
"4","MAS_CNV2603",0,26
"5","MAS_CNV2603",0,12
"6","MAS_CNV3946",630,190
"7","MAS_CNV3952",120,14
"8","MAS_CNV5011",0,0
