"","Locator","Date","LabEC","RCardEC","Dog_biomarker","Hu_biomarker","nObs"
"94","MAS_CNV2637_UP","2024-04-30","NS","440","NS","NS",NA
"95","MAS_CNV6447","2024-04-22","NS","0","NS","NS",NA
"96","MAS_CNV2638_UP","2024-03-18","NS","0","NS","NS",NA
"97","MAS_CNV2638_UP","2024-04-30","NS","640","NS","NS",NA
"98","MAS_CNV2638_UP","2024-05-08","NS","160","NS","NS",NA
"99","MAS_CNV9839","2024-04-22","NS","0","NS","NS",NA
"100","MAS_CNV2639","2024-04-22","NS","NS","NS","NS","1"
"101","MAS_CB2316","2024-03-18","NS","NS","NS","NS","1"
"102","MAS_CB2316","2024-04-22","NS","NS","NS","NS","1"
"103","MAS_CB2316","2024-05-08","NS","NS","NS","NS","1"
